,created_at,sentiment,tweet,user_location
16,2017-11-09 23:59:51,neutral,"@thenurse75 @MuslimIQ @attn Except for the people who created the ""war on drugs"", since their goal from the start w… https://t.co/37WwPTz2dM",Boston
17,2017-11-09 23:59:51,negative,RT @MooreSenate: I believe you and I have a duty to stand up and fight back against the forces of evil waging an all-out war on our conserv…,"Illinois, USA"
18,2017-11-09 23:59:51,negative,RT @MooreSenate: I believe you and I have a duty to stand up and fight back against the forces of evil waging an all-out war on our conserv…,United States
19,2017-11-09 23:59:51,negative,"RT @PlanetArk: Prepare for War... on Waste, Ep 4 on Sunday Dec 3! Get started with #NationalRecyclingWeek Nov 13-19 https://t.co/n31rVpHhIt…","Sydney, New South Wales"
20,2017-11-09 23:59:50,neutral,@FrauEins War Berlin nicht gut ?? ?,"Berlin, Deutschland"
21,2017-11-09 23:59:50,positive,@DeplorableDeb16 @steph93065 @Jali_Cat @ChristiChat @tedlieu @DNC @POTUS It's very shameful and disheartening to se… https://t.co/sRqnxrrLB7,
22,2017-11-09 23:59:50,positive,"RT @CloydRivers: When you’re Back to Back World War Champs and Hillary is not your President, every day is a lucky day. Merica.","Callaway, VA"
23,2017-11-09 23:59:49,neutral,"RT @jesusofiraq: Documents Confirm Israel is Conspiring With Saudi Arabia to Start War-
https://t.co/qTHP0SfLaN
Via - @NeonNettle
#NeonNett…",London - Baghdad 
24,2017-11-09 23:59:49,positive,RT @AP_Politics: 93-year-old World War II vet scores upset election win: https://t.co/b3oi14WvlN,United States
25,2017-11-09 23:59:49,neutral,RT @UN_News_Centre: Syrian conflict has now lasted longer than World War II – UN humanitarian envoy https://t.co/5FePupisAO,Curitiba - Brazil
26,2017-11-09 23:59:48,positive,RT @YourAnonRevolt: Constitutional battle: #AbeShinzo wants amendement allowing #Japan to go to #war again https://t.co/33suxN6i6U  https:/…,N 53°28' 0'' / W 2°14' 0''
27,2017-11-09 23:59:47,neutral,@Sillyshib Also check riot v war. I think you need educating. Try google pictures. That's if you don't walk into something.,not in the matrix 
28,2017-11-09 23:59:47,neutral,"RT @MusicDubstepYT: ??? NUEVO SORTEO ???

SORTEO con @TheGrefgYT de tres copias de CoD: WWII! Espero que lo apoyéis para subir más!

https:…",
29,2017-11-09 23:59:47,neutral,RT @ChatwitChuck: The NAACP is creating controversy where NONE exists!! Do I get to change all things I disagree with? Perhaps starting wit…,
30,2017-11-09 23:59:46,neutral,RT @WWENXT: A war of words will be taken to the ring when @WWEEmberMoon &amp; @RealMMartinez do battle NEXT WEEK on #WWENXT on @WWENetwork! htt…,
31,2017-11-09 23:59:46,neutral,RT @INDIGNADITA95: Esta es la Ana War que me flipa! #OTDirecto9N https://t.co/6X8lU1noC2,"Si quieres saber más,pregunta."
32,2017-11-09 23:59:46,neutral,"RT @The_Rumpus: ""I was raised by a history buff. A Civil War nerd."" https://t.co/zgvx014q18","Tacoma, WA"
33,2017-11-09 23:59:45,negative,RT @MooreSenate: I believe you and I have a duty to stand up and fight back against the forces of evil waging an all-out war on our conserv…,
34,2017-11-09 23:59:44,positive,"RT @mitchellvii: Folks, 2018 is shaping up to be the war of all wars for the very soul of this nation.  How exciting.  We in the #TrumpTrai…",
35,2017-11-09 23:59:44,neutral,America Is Losing the War on Chronic Pain https://t.co/PU62XRTCkB https://t.co/vTNaj0iG3H,"San Francisco, CA"
36,2017-11-09 23:59:44,positive,"RT @NPR: ""It's always children who bear the brunt of conflict,"" a World Vision director says. ""They've had absolutely nothing to do with th…",#VIPsAlwayshere4TOP
37,2017-11-09 23:59:44,negative,"RT @RoseAnnDeMoro: The nation that spends $23,386 per taxpayer funding wars still has 28 million citizens uninsured.

It's long past time f…","Fort Worth, Texas"
38,2017-11-09 23:59:44,positive,"RT @Thomas_A_Moore: when schools start selling bulletproof backpacks, your country is more of a war zone than a functioning society https:/…",United States
39,2017-11-09 23:59:43,neutral,RT @codepink: Pelosi recently said she would be open to a ground invasion of North Korea. Tell @NancyPelosi that war is never an acceptable…,Pacific NW
40,2017-11-09 23:59:43,negative,"RT @BlackAutonomist: So the Russian revolution was ""bad"" because 1.5 million Russians died in the ensuing Civil War after, but the american…",
41,2017-11-09 23:59:43,neutral,RT @mamaristine: @bvkcitizen @politicsofone @louis_teller @stillglomar Some people did not learn about the Revolutionary war.,"Texas, USA"
42,2017-11-09 23:59:43,positive,"RT @NPR: ""It's always children who bear the brunt of conflict,"" a World Vision director says. ""They've had absolutely nothing to do with th…",Massachusetts
43,2017-11-09 23:59:42,neutral,RT @DanceGodPls: @RADSTORMTROOPER @BasedSkywalker Uhhhh. I want a Sith trilogy about the rise of the Sith from the Jedi civil war,18+
44,2017-11-09 23:59:41,neutral,Me ha gustado un vídeo de @YouTube (https://t.co/C03FKP5Dlf - Wage War - The River (Official Music Video)).,Hell
45,2017-11-09 23:59:41,negative,RT @MooreSenate: I believe you and I have a duty to stand up and fight back against the forces of evil waging an all-out war on our conserv…, 
46,2017-11-09 23:59:41,neutral,RT @INDIGNADITA95: Esta es la Ana War que me flipa! #OTDirecto9N https://t.co/6X8lU1noC2,Barcelona
47,2017-11-09 23:59:40,neutral,RT @Naru24: Lo mejor es la cara de Ana War https://t.co/6DxMtHubiS,camila & justin
48,2017-11-09 23:59:40,positive,RT @StewartWood: The world's attention needs to shift to Lebanon right away. The Saudi-Iran proxy war in the region looks in imminent dange…,Singapore
49,2017-11-09 23:59:40,negative,"All these Leftist Morons, like The NAACP, are Pushing US Toward WAR because WE Are Not Going To Take This SHIT Much… https://t.co/91VVNDBQEa","IN THE BASKET, MAGA"
50,2017-11-09 23:59:40,negative,@JBergkampf @alexaforsythe No. Not the National Front or National Action. They're not interested in anyone's safety… https://t.co/4aXcETx34F,"Exeter, England"
51,2017-11-09 23:59:40,neutral,"RT @MusicDubstepYT: ??? NUEVO SORTEO ???

SORTEO con @TheGrefgYT de tres copias de CoD: WWII! Espero que lo apoyéis para subir más!

https:…",
52,2017-11-09 23:59:39,positive,"RT @celeb_voices: .@TheNormanLear to Donald Trump: ""I fought Nazis in World War II. They aren’t 'very fine people.'"" https://t.co/ye5eRZMZIq",
53,2017-11-09 23:59:39,negative,RT @MooreSenate: I believe you and I have a duty to stand up and fight back against the forces of evil waging an all-out war on our conserv…,"Alabama, USA"
54,2017-11-09 23:59:38,neutral,Das zweite war definitiv Rotkäppchen...beim ersten tippe ich einfach mal auf Hänsel und Gretel wegen dem Lebkuchenhaus....??,Deutschland
55,2017-11-09 23:59:38,positive,"@GoldenArmorMage With the last of the compartments closing, Armin's Lacrima were safely secured. Turning his full a… https://t.co/v0PN0k8E1x",Wandering
56,2017-11-09 23:59:38,neutral,RT @9GAGTweets: Is it a war against perfectionists? https://t.co/54uulb9Ifn,"Braga, Portugal"
57,2017-11-09 23:59:38,positive,RT @benevolentbowd: [Website] Motif Articles now include links to war researcher and tel var general merchant in sections relating to facti…,"Tennessee, USA"
58,2017-11-09 23:59:37,neutral,they gave the guy who started this war a peace prize https://t.co/dJKfUEErLj,"the Springs, CO"
59,2017-11-09 23:59:37,neutral,@renee_rdanes81 @ThatsFeffedUp @realDonaldTrump @HillaryClinton You're nuts! Five congressional investigations into… https://t.co/snkrDY5nnE,Beautiful Black Hills of SD
60,2017-11-09 23:59:37,neutral,"Estoy participando en un sorteo de x3 CoD: WWII por parte de @MusicDubstepYT y @TheGrefgYT. #SorteoWWII

https://t.co/RGoYvmotui",
61,2017-11-09 23:59:36,neutral,"RT @archaeologymag: After defeating Hannibal and Carthage in the Second Punic War, Rome took control of the silver mines of southern Spain,…","Al Rayyan, Qatar"
62,2017-11-09 23:59:35,neutral,"RT @chinalinestan: The War reached 1,600,000 sales, Kokobop reached 1m+ downloads, the Olympics acknowledged exo and called junmyeon the be…",Invisible
63,2017-11-09 23:59:35,positive,"@LisaWetzelberge @RandilynIsIn Moore himself is already spinning it to his supporters as a war on good Christians,… https://t.co/k8j7bsB5cd","Pasadena, CA"
64,2017-11-09 23:59:34,neutral,"RT @SenKamalaHarris: Weapons of war should not be on the streets of America. 
https://t.co/AhMPh8hxFq",
65,2017-11-09 23:59:34,positive,RT @StJamesStJames: Our new film “Not A War Story” is #1 documentary in the world on ITunes! Sincerest thanks to everyone who has purchased…,
66,2017-11-09 23:59:34,neutral,"RT @ChantalBarlow: Artist Mark Bradford Unveils His Largest Work Yet, a Civil War Cyclorama at the Hirshhorn | artnet News ??? https://t.co…",jersey city
67,2017-11-09 23:59:33,neutral,"RT @pococentre: Ariel Dorfman, Trump’s War on Knowledge: https://t.co/6wKvbmBGCO","Oakland, California"
68,2017-11-09 23:59:33,neutral,RT @M_Sphere: ?????????? (????????????????????? ?) ??????????????????????????????????? ??????????????????????????? ????????????????????????…,#????? #?????? #??????? #?????
69,2017-11-09 23:59:33,neutral,"@WhiteHouse @AbeShinzo ""The Lord is a skilful&amp;expert Warrior, he knows how to marshal his host&amp;set his battle in ar… https://t.co/OjkY14KjDM",
70,2017-11-09 23:59:33,positive,RT @ayako_nkd: ???????????????????????????????????????Get wild??????????????????????????????????????????????????????WOW WAR TONIGHT????????…,??
71,2017-11-09 23:59:33,positive,@BanditRandom @GOP Teddy Roosevelt thought a war against Mexico would unite the south with the Union. Those kind of… https://t.co/dSwBSdzMjt,"Atlanta, GA"
72,2017-11-09 23:59:32,neutral,Syrian conflict has now lasted longer than World War II – UN humanitarian envoy: (AGENPARL… https://t.co/7gunsXQgFH,Roma
73,2017-11-09 23:59:32,positive,"RT @Thomas_A_Moore: when schools start selling bulletproof backpacks, your country is more of a war zone than a functioning society https:/…",pa
74,2017-11-09 23:59:32,neutral,"RT @KlNDNESSX: ??KIWI M/V; [ https://t.co/OiYotW7kPt ]
??Part I.??This is war. https://t.co/QDzPQVLWMt","Atlanta, GA"
75,2017-11-09 23:59:32,neutral,Michael Bloomberg’s ‘war on coal’ goes global with $50m fund https://t.co/IJ48wpFI3P,Edmonton Alberta Canada
76,2017-11-09 23:59:31,neutral,RT @itskordeii_: Ana War juzgándote #OTDirecto9N https://t.co/bnIWFrPf6E,
77,2017-11-09 23:59:31,negative,"RT @FoxNews: .@POTUS: ""In the part of Korea that was a stronghold for Christianity before the war, Christians and other people of faith who…",
78,2017-11-09 23:59:31,neutral,RT @ByronYork: This was a hell of a guy. https://t.co/lReYgJJ8dv https://t.co/OfBOAqgsy1,Dallas TX
79,2017-11-09 23:59:31,neutral,"Listen to KJ100xClay100 ""War"" by Clay100 #np on #SoundCloud https://t.co/xycTGE1b8K",Indiana
80,2017-11-09 23:59:30,positive,"J'aime une vidéo @YouTube : ""Captain America Civil War - Spidey vs Winter soldier and Falcon Full Fight"" à l'adresse",
81,2017-11-09 23:59:30,positive,RT @Independent: Donald Trump sends aircraft carriers to western Pacific in rare military exercise following North Korea warning https://t.…,
82,2017-11-09 23:59:30,neutral,RT @WarWidowsAssoc: Please share one of our war widows has lost her Elizabeth Cross today in London while we were at the Field of Remembran…,United Kingdom
83,2017-11-09 23:59:29,positive,"RT @AlbertCane8: @clivebushjd @realDonaldTrump *Rebirth of KKK
*Passing the buck on solving climate issues
*Tax cut for the wealthy and cor…","Westmont, NJ"
84,2017-11-09 23:59:29,positive,"RT @SenFeinstein: RT if you agree that weapons of war that are designed to kill more people, more quickly don’t belong on the streets of Am…","North Carolina, USA"
85,2017-11-09 23:59:29,positive,@HugoBoss_760 @JoeyNJade @weird_melody @WolfieB10 @Amandaburke412 @samararedway Ah shoot! That had the potential to be a great flame war. ?,Somewhere with an Indoor Pool
86,2017-11-09 23:59:29,neutral,RT @AndyBrown1_: Michael Bloomberg’s ‘war on coal’ goes global with $50m fund | Environment | The Guardian https://t.co/Nrbf8vvn6j,
87,2017-11-09 23:59:28,negative,"RT @BenjaminNorton: The US government has spent $5.6 trillion on the ""war on terror"" yet insists it supposedly can't afford universal healt…",NY
88,2017-11-09 23:59:27,negative,"RT @RedactedTonight: Nation That Says It Can't Afford Medicare for All Has Spent $5.6 Trillion on War Since 9/11
https://t.co/aQVI7qDn5P","Pierrefonds,Québec, Canada"
89,2017-11-09 23:59:27,neutral,RT @MilitaryTimes: NATO boosts support to Afghanistan war; Falls short of goal https://t.co/mKwRO4VOjO https://t.co/PrPR8EPJDS,
90,2017-11-09 23:59:27,positive,"RT @Thomas_A_Moore: when schools start selling bulletproof backpacks, your country is more of a war zone than a functioning society https:/…",
91,2017-11-09 23:59:27,neutral,@bvkcitizen @politicsofone @louis_teller @stillglomar Some people did not learn about the Revolutionary war.,
92,2017-11-09 23:59:27,positive,RT @YourAnonRevolt: Constitutional battle: #AbeShinzo wants amendement allowing #Japan to go to #war again https://t.co/33suxN6i6U  https:/…,ANONYMOUS - LEGION
93,2017-11-09 23:59:26,negative,"RT @HillelNeuer: Would you invite a Nazi war criminal to teach in your university?
Would you invite the Nazi to teach the laws of war?
Well…",
94,2017-11-09 23:59:26,negative,RT @KaydeeKing: It's telling that Dems (like Madeline Albright) vehemently hate Trump 99% of the time but agree &amp; support him on 1 thing on…,
95,2017-11-09 23:59:25,negative,RT @MooreSenate: I believe you and I have a duty to stand up and fight back against the forces of evil waging an all-out war on our conserv…,Lawrenceville GA
96,2017-11-09 23:59:25,positive,A 93-year-old World War II veteran has been elected mayor in a New Jersey borough https://t.co/vULdJKLHOi https://t.co/pIrcYga00z,
97,2017-11-09 23:59:24,positive,"RT @SenFeinstein: RT if you agree that weapons of war that are designed to kill more people, more quickly don’t belong on the streets of Am…","Springfield, MO"
98,2017-11-09 23:59:23,neutral,"As the War Doctor said to the Daleks, #NoMoore.",NJ
99,2017-11-09 23:59:23,neutral,RT @9GAGTweets: Is it a war against perfectionists? https://t.co/54uulb9Ifn,"Ismalia, Egypt"
100,2017-11-09 23:59:52,neutral,@sherylcamp @BarbraStreisand @realDonaldTrump @BarackObama So Obama never hit 3% GDP and his stock market was fairl… https://t.co/CgYUNjIbYW,SoCal
101,2017-11-09 23:59:18,positive,RT @Babajiide: 1. Good evening and welcome to #careerswithJide ? this is a series targeted at helping graduates and undergraduate understan…,"Lagos, Nigeria"
102,2017-11-09 23:59:02,positive,RT @KHandozo: The Lochner era is so-called because Court decisions in this period echo Lochner in striking down regulations on the laissez-…,"Fullerton, CA"
103,2017-11-09 23:58:43,negative,"RT @freedom_luvr: @Jujube_blue @StockMonsterUSA If you blindly watch CNN you wouldnt know there is lowest unemployment in almost 20 yrs, IS…","California, USA"
104,2017-11-09 23:58:13,negative,"Wait a minute man
Hey check this out man tell it
It was this blind man right it was this blind man right
He was fee… https://t.co/AYfxtOy1f7",
105,2017-11-09 23:58:08,negative,"@SimoneD_UE - about in the end. With a hesitant step, Timothy continued down the sidewalk, entering the market. Lon… https://t.co/ZAatPJkpjj",Lurking 
106,2017-11-09 23:57:05,negative,"RT @freedom_luvr: @Jujube_blue @StockMonsterUSA If you blindly watch CNN you wouldnt know there is lowest unemployment in almost 20 yrs, IS…",USA
107,2017-11-09 23:56:28,negative,"RT @_Mr_Reed: It was this blind man, right?
Man, check this out- it was this blind man, right?
He was feelin' his way down the street with…",
108,2017-11-09 23:55:34,negative,RT @weirdhongkong: China closing down the internet. “Miit has further tightened regulation of the internet by announcing new guidelines on…,Berlin & Hong Kong 
109,2017-11-09 23:55:34,negative,"RT @unomagazineguam: Heads Up! 

Slammed Society is going down this Saturday at the Old Dededo Flea Market. 

Be there! https://t.co/8Alvlz…",GU -JAX
110,2017-11-09 23:54:19,negative,"RT @realDonaldTrump: Unemployment is down to 4.1%, lowest in 17 years. 1.5 million new jobs created since I took office. Highest stock Mark…","Seattle, WA"
111,2017-11-09 23:53:59,positive,RT @MajKyleBaxter: @RyanAFournier @realDonaldTrump making America great again one deal at a time! He's repairing all the damage @BarackObam…,"Northwest, NJ, USA"
112,2017-11-09 23:53:22,negative,"RT @_Mr_Reed: It was this blind man, right?
Man, check this out- it was this blind man, right?
He was feelin' his way down the street with…",
113,2017-11-09 23:52:47,positive,@EricHeatEsparza @GoNintendoTweet Right.... Yet Sony is the company selling of pieces of their company to stay away… https://t.co/mH7KMBYZID,
114,2017-11-09 23:51:40,positive,"RT @porinju: During FY-18, 501 'chor' companies (worth investing) will stop siphoning out profits and focus on market capitalization, due t…","Pune, India"
115,2017-11-09 23:51:01,negative,"RT @_Mr_Reed: It was this blind man, right?
Man, check this out- it was this blind man, right?
He was feelin' his way down the street with…",wayne
116,2017-11-09 23:50:55,negative,"RT @_Mr_Reed: It was this blind man, right?
Man, check this out- it was this blind man, right?
He was feelin' his way down the street with…","Palmdale, CA"
117,2017-11-09 23:50:32,negative,@realDonaldTrump Just so you know the stock market was down today. It's your fault,
118,2017-11-09 23:50:14,negative,"RT @freedom_luvr: @Jujube_blue @StockMonsterUSA If you blindly watch CNN you wouldnt know there is lowest unemployment in almost 20 yrs, IS…",Boca Raton
119,2017-11-09 23:50:04,negative,"RT @_Mr_Reed: It was this blind man, right?
Man, check this out- it was this blind man, right?
He was feelin' his way down the street with…",
120,2017-11-09 23:49:45,negative,"Hey check this out man tell it
It was this blind man right
it was this blind man right
He was feelin' his way down… https://t.co/T0v6XPhEpo",??
121,2017-11-09 23:49:38,positive,"RT @muddywatersre: Yesterday, in the world's most taken too seriously stock market, $8102.HK, a restaurant chain, melted down from US$1 bln…",
122,2017-11-09 23:49:24,positive,Mike talks about the kid's #market all the time - how many of the #mutualfund managers working right now are so you… https://t.co/M0n83ex2tr,"Seattle, WA"
123,2017-11-09 23:49:04,positive,"It is going on now at Tops Fresh Market. Come on down. Good food, good wine and a good time!","Redding & Weaverville, Calif."
124,2017-11-09 23:48:32,negative,"RT @realDonaldTrump: Unemployment is down to 4.1%, lowest in 17 years. 1.5 million new jobs created since I took office. Highest stock Mark…",
125,2017-11-09 23:48:31,negative,"RT @unomagazineguam: Heads Up! 

Slammed Society is going down this Saturday at the Old Dededo Flea Market. 

Be there! https://t.co/8Alvlz…",the field?
126,2017-11-09 23:48:20,negative,"Overnight US Market :Dow closed -101 points (Intraday was down 250 pt )
https://t.co/PuqMHRA2wu","Gujarat, India"
127,2017-11-09 23:48:15,negative,RT @weirdhongkong: China closing down the internet. “Miit has further tightened regulation of the internet by announcing new guidelines on…,Hong Kong
128,2017-11-09 23:47:08,negative,Worried about the market going up and down? Auto-Stash helps you manage the highs and lows https://t.co/FJnO8mV2fX,New York City
129,2017-11-09 23:47:08,negative,Overnight US Market :Dow closed -101 points (Intraday was down 250 pt ) https://t.co/caP1nrdGL0,GLOBAL
130,2017-11-09 23:47:02,negative,@realDonaldTrump How come no mention of stock market down today ?,
131,2017-11-09 23:46:52,positive,"RT @muddywatersre: Yesterday, in the world's most taken too seriously stock market, $8102.HK, a restaurant chain, melted down from US$1 bln…","Hoboken, NJ"
132,2017-11-09 23:45:15,negative,"RT @realDonaldTrump: Unemployment is down to 4.1%, lowest in 17 years. 1.5 million new jobs created since I took office. Highest stock Mark…","Nashua, NH"
133,2017-11-09 23:44:02,negative,"RT @_Mr_Reed: It was this blind man, right?
Man, check this out- it was this blind man, right?
He was feelin' his way down the street with…","Tampa, FL"
134,2017-11-09 23:43:07,negative,Oil's Current Surge Toward $70 Seen Dragging It Down Later https://t.co/EOBZWqxGOH,Facebook.com/PersonalPetrolero
135,2017-11-09 23:42:53,positive,"RT @muddywatersre: Yesterday, in the world's most taken too seriously stock market, $8102.HK, a restaurant chain, melted down from US$1 bln…",
136,2017-11-09 23:41:53,negative,"RT @beaupedraza: Folks, shut it down. A dude on Blogspot just cornered the SEO market. https://t.co/iXeTGtQn5T",Behind ma laptop
137,2017-11-09 23:41:42,positive,"RT @aeberman12: NatGas C.I. Dropped -51 bcf Last Week &amp; Has Fallen -158 bcf in the Last 7 Weeks. 

The Market Has Consistently Misread Inve…",Delray Beach Florida
138,2017-11-09 23:41:14,positive,"@HEAwriter @ericgarland @tedlieu I’m enjoying stock market gains, lowest unemployment #’s in 17 yrs, best manufactu… https://t.co/ZVkWI0YHpW",
139,2017-11-09 23:41:11,positive,"@RepAdamSchiff @realDonaldTrump Let's see, Stock market new high in history, employment down lower in 16 years, cou… https://t.co/tuGxKM9gYn",Cleveland Texas
140,2017-11-09 23:40:22,positive,"@IAmDaltonJames @Fuctupmind Yeah. Stock market is on high, job creation at a high, illegals coming over the border… https://t.co/DXfI0dFYpu",North Carolina 
141,2017-11-09 23:39:39,positive,"RT @muddywatersre: Yesterday, in the world's most taken too seriously stock market, $8102.HK, a restaurant chain, melted down from US$1 bln…",
142,2017-11-09 23:39:38,negative,"RT @realDonaldTrump: Unemployment is down to 4.1%, lowest in 17 years. 1.5 million new jobs created since I took office. Highest stock Mark…",
143,2017-11-09 23:39:12,positive,"RT @muddywatersre: Yesterday, in the world's most taken too seriously stock market, $8102.HK, a restaurant chain, melted down from US$1 bln…",
144,2017-11-09 23:37:39,negative,"RT @tjCervants: Sorry, We’re Closed: Dealers Explain the Painful Process of Shutting Down an Art Gallery https://t.co/ubcyaY8NOT https://t.…",
145,2017-11-09 23:37:34,positive,"RT @muddywatersre: Yesterday, in the world's most taken too seriously stock market, $8102.HK, a restaurant chain, melted down from US$1 bln…",
146,2017-11-09 23:36:33,positive,"RT @muddywatersre: Yesterday, in the world's most taken too seriously stock market, $8102.HK, a restaurant chain, melted down from US$1 bln…",
147,2017-11-09 23:35:56,positive,"Yesterday, in the world's most taken too seriously stock market, $8102.HK, a restaurant chain, melted down from US$… https://t.co/sn2BietFLl","San Francisco, CA"
148,2017-11-09 23:35:42,negative,"SYS/BTC down -5.17% in the last hour! ? ?
$BTC $SYS
https://t.co/ixhy1hAoIq https://t.co/SCycs3P59R",
149,2017-11-09 23:33:51,negative,"RT @_Mr_Reed: It was this blind man, right?
Man, check this out- it was this blind man, right?
He was feelin' his way down the street with…",
150,2017-11-09 23:33:41,negative,My ETFs of interest: Market Mostly Down https://t.co/KdisY2y05h,"Toronto, ON, Canada"
151,2017-11-09 23:32:35,positive,The Lochner era is so-called because Court decisions in this period echo Lochner in striking down regulations on the laissez-faire market.,
152,2017-11-09 23:32:34,negative,@AndrewSabisky In the market I think there's probably a lot of value a bit lower down,"Peckham, London UK"
153,2017-11-09 23:32:23,negative,Priceline's Key Metric Growth Is Slowing Down - Market Realist https://t.co/nozJX2BAC9,New York
154,2017-11-09 23:31:26,neutral,"@Carolshmarol @RealJamesWoods @tammiejwilliams Of course it’s at an all time low. The economy is cranking, the stoc… https://t.co/bUPPc7iPwk","Texas, USA"
155,2017-11-09 23:30:31,negative,"RT @freedom_luvr: @Jujube_blue @StockMonsterUSA If you blindly watch CNN you wouldnt know there is lowest unemployment in almost 20 yrs, IS…",
156,2017-11-09 23:30:14,negative,$TRX current market price US$0.00231450 (down -0.74% in the last hour) | #Tron #Tronix #Cryptocurrency,Australia
157,2017-11-09 23:30:12,negative,"RT @freedom_luvr: @Jujube_blue @StockMonsterUSA If you blindly watch CNN you wouldnt know there is lowest unemployment in almost 20 yrs, IS…","Lowell, IN"
158,2017-11-09 23:29:16,negative,"RT @freedom_luvr: @Jujube_blue @StockMonsterUSA If you blindly watch CNN you wouldnt know there is lowest unemployment in almost 20 yrs, IS…",Pennsylvania
159,2017-11-09 23:29:03,negative,"RT @unomagazineguam: Heads Up! 

Slammed Society is going down this Saturday at the Old Dededo Flea Market. 

Be there! https://t.co/8Alvlz…",Guam
160,2017-11-09 23:28:10,positive,"@ericbolling @realDonaldTrump Love Barbara's singing but is she kidding??? Obama was not a leader, he was a divider… https://t.co/GwXT04rTWu","Pennsylvania, USA"
161,2017-11-09 23:27:29,negative,"This is the absolute worst time to be investing in the stock market.  It’s at a literal all time high, what goes up… https://t.co/zDmlFiiA1j",ny-stl-wisco 
162,2017-11-09 23:26:46,positive,"Jadenna is making a play for tge Nigerian market while still holding down his niche in the US, smart and risky","Lagos, Nigeria"
163,2017-11-09 23:25:46,negative,US market down https://t.co/q5tN5J91af,commodities for 2018
164,2017-11-09 23:24:54,negative,"RT @_Mr_Reed: It was this blind man, right?
Man, check this out- it was this blind man, right?
He was feelin' his way down the street with…",
165,2017-11-09 23:23:29,positive,"@AReneeMcNeal @ABCPolitics @KVUE First off, going back to a free market system will over a period of time actually… https://t.co/QXU2wEaKub","Oklahoma City, OK"
166,2017-11-09 23:23:28,negative,"RT @_Mr_Reed: It was this blind man, right?
Man, check this out- it was this blind man, right?
He was feelin' his way down the street with…",Oregon
167,2017-11-09 23:23:28,negative,"RT @realDonaldTrump: As I have long stated, we are so tied in with China and Asia that their markets are now taking the U.S. market down. G…","Pierrefonds,Québec, Canada"
168,2017-11-09 23:23:27,negative,"RT @_Mr_Reed: It was this blind man, right?
Man, check this out- it was this blind man, right?
He was feelin' his way down the street with…",
169,2017-11-09 23:23:03,negative,"RT @realDonaldTrump: As I have long stated, we are so tied in with China and Asia that their markets are now taking the U.S. market down. G…",a few acres of snow.
170,2017-11-09 23:22:37,negative,"RT @M_PaulMcNamara: 2015: Bloody kids don't remember market carnage 2008
2017: Bloody kids don't remember a 1% down day on S&amp;P",
